RF, 4, 4, 4, 4, 2, 8, Soft, 0.58, 0.861, 3.51e+04, 7244.114647, 697.869492, 8010.012230
RF, 2, 2, 2, 2, 0, 16, Firm, 0.35, 0.124, 7.40e+03, 951.271083, 108.122928, 1461.869472
RF, 1, 1, 1, 1, 6, 16, Soft, 2.02, 1.252, 1.32e+05, 19662.261726, 2462.717229, 28087.135139
RF, 4, 4, 4, 4, 4, 4, Soft, 0.79, 1.091, 6.15e+04, 13312.163507, 1213.423286, 14078.061090
RF, 4, 4, 2, 2, 4, 16, None, 1.04, 1.897, 1.43e+05, 30305.985460, 3180.627035, 32348.379015
RF, 4, 4, 1, 1, 4, 4, None, 0.64, 0.884, 4.60e+04, 10146.735073, 927.798397, 10657.333462
RF, 4, 4, 1, 1, 0, 8, Soft, 0.23, 6.48e-02, 4.12e+03, 627.923386, 57.936544, 819.397782
RF, 2, 2, 2, 2, 6, 2, None, 4.11, 0.830, 5.97e+04, 12181.150563, 1180.053124, 13202.347340
RF, 4, 4, 4, 4, 4, 4, None, 0.64, 0.954, 5.27e+04, 12097.615134, 1125.961848, 12608.213523
RF, 1, 1, 4, 4, 0, 2, Firm, 0.15, 8.32e-03, 641.296, 77.903798, 8.156908, 109.816197
RF, 4, 4, 4, 4, 6, 16, Soft, 1.91, 6.418, 6.34e+05, 141211.897779, 15661.382082, 150402.668776
RF, 2, 2, 1, 1, 0, 16, None, 0.14, 5.43e-02, 3.07e+03, 435.510389, 44.073486, 563.159986
RF, 4, 4, 4, 4, 0, 2, None, 0.16, 1.74e-02, 908.110, 168.478696, 14.893386, 184.434895
RF, 1, 1, 4, 4, 0, 2, None, 0.16, 6.80e-03, 496.302, 70.864298, 7.754360, 86.820498
RF, 4, 4, 1, 1, 6, 8, None, 1.58, 3.650, 3.17e+05, 68344.157484, 6914.268767, 72428.944593
RF, 4, 4, 1, 1, 4, 8, Soft, 0.72, 1.329, 7.65e+04, 16158.467945, 1576.664250, 17307.314319
RF, 1, 1, 1, 1, 0, 2, Soft, 0.21, 1.31e-02, 670.354, 95.267898, 8.878388, 143.136497
RF, 1, 1, 4, 4, 2, 16, Soft, 0.63, 0.229, 2.27e+04, 3928.040913, 404.934872, 4693.938496
RF, 2, 2, 4, 4, 0, 8, None, 0.16, 3.14e-02, 2.31e+03, 334.610891, 38.097120, 398.435689
RF, 1, 1, 4, 4, 6, 4, Soft, 1.63, 1.052, 8.84e+04, 17236.450020, 1663.799757, 19342.668373
RF, 4, 4, 4, 4, 4, 8, None, 0.68, 1.372, 8.34e+04, 18895.425497, 1859.811318, 19916.622275
RF, 4, 4, 2, 2, 6, 2, None, 4.11, 1.866, 1.31e+05, 28932.344345, 2735.228508, 29953.541122
RF, 4, 4, 4, 4, 0, 4, None, 0.16, 2.31e-02, 1.72e+03, 294.251092, 26.491412, 326.163491
RF, 4, 4, 1, 1, 2, 8, None, 0.35, 0.680, 2.12e+04, 4666.249802, 438.743986, 4921.548997
RF, 2, 2, 1, 1, 6, 8, None, 1.61, 1.525, 1.18e+05, 22952.523908, 2480.545571, 27037.311018
RF, 1, 1, 2, 2, 4, 2, Soft, 1.13, 0.137, 8.87e+03, 1627.063071, 149.253107, 1914.274664
RF, 4, 4, 4, 4, 4, 16, None, 1.09, 2.152, 1.62e+05, 34848.340064, 3657.380916, 36890.733619
RF, 2, 2, 2, 2, 2, 16, Soft, 0.58, 0.373, 2.41e+04, 3889.558315, 392.878682, 4910.755093
RF, 4, 4, 4, 4, 0, 16, Soft, 0.55, 0.393, 2.87e+04, 4572.389797, 461.233161, 5721.236172
RF, 2, 2, 1, 1, 4, 2, None, 1.07, 0.235, 1.37e+04, 2926.085438, 270.182597, 3181.384632
RF, 4, 4, 4, 4, 0, 2, Soft, 0.37, 6.97e-02, 4.22e+03, 777.630084, 67.896077, 921.235880
RF, 1, 1, 1, 1, 6, 2, Soft, 4.15, 0.399, 2.62e+04, 4403.441822, 444.034438, 5456.550998
RF, 1, 1, 1, 1, 0, 4, Firm, 0.14, 1.30e-02, 855.060, 88.697698, 9.050459, 152.522497
RF, 4, 4, 4, 4, 4, 8, Soft, 0.83, 1.561, 9.79e+04, 20756.669251, 2030.218853, 22288.464417
RF, 4, 4, 2, 2, 0, 16, Firm, 0.35, 0.124, 7.40e+03, 951.271083, 108.122928, 1461.869472
RF, 2, 2, 4, 4, 2, 4, Soft, 0.46, 0.159, 9.86e+03, 1893.625459, 171.475557, 2148.924653
RF, 4, 4, 2, 2, 4, 4, Soft, 0.75, 1.009, 5.32e+04, 11535.863041, 1040.995298, 12174.111027
RF, 1, 1, 2, 2, 6, 8, Soft, 1.68, 1.506, 1.15e+05, 20483.536665, 2112.349684, 24695.973372
RF, 4, 4, 2, 2, 6, 16, Soft, 1.72, 5.925, 5.71e+05, 124012.522406, 13793.833683, 132692.695014
RF, 2, 2, 4, 4, 4, 8, None, 0.71, 0.587, 4.10e+04, 8656.707618, 890.364814, 9677.904396
RF, 1, 1, 4, 4, 0, 8, Firm, 0.15, 2.87e-02, 2.40e+03, 276.417693, 34.198292, 404.067290
RF, 2, 2, 4, 4, 6, 16, None, 1.65, 2.105, 3.09e+05, 59321.865228, 6609.651734, 67491.439447
RF, 1, 1, 2, 2, 6, 4, None, 1.56, 0.831, 6.33e+04, 11397.888849, 1120.764651, 13440.282403
RF, 2, 2, 1, 1, 0, 16, Firm, 0.14, 4.97e-02, 3.23e+03, 313.961693, 39.213790, 569.260888
RF, 4, 4, 2, 2, 0, 4, Soft, 0.26, 5.98e-02, 3.82e+03, 614.313686, 52.850317, 773.875683
RF, 1, 1, 4, 4, 4, 16, Soft, 0.90, 0.616, 6.73e+04, 12599.296847, 1376.737441, 14896.989596
RF, 1, 1, 4, 4, 2, 2, Soft, 0.41, 5.96e-02, 3.58e+03, 698.318387, 61.359543, 794.055585
RF, 1, 1, 4, 4, 0, 16, Soft, 0.43, 0.128, 8.33e+03, 1408.369273, 154.973948, 1791.318065
RF, 4, 4, 4, 4, 2, 16, None, 0.47, 0.838, 3.95e+04, 8583.027521, 838.820575, 9093.625910
RF, 4, 4, 4, 4, 4, 2, None, 1.16, 0.646, 3.54e+04, 7764.568329, 676.741410, 8019.867523
RF, 1, 1, 1, 1, 2, 4, None, 0.29, 4.29e-02, 2.56e+03, 431.286691, 39.783963, 558.936288
RF, 1, 1, 4, 4, 0, 16, None, 0.16, 4.68e-02, 3.48e+03, 474.462287, 65.147526, 602.111884
RF, 1, 1, 4, 4, 4, 4, None, 0.78, 0.306, 2.30e+04, 4500.586904, 411.649229, 5011.185293
RF, 2, 2, 2, 2, 4, 4, None, 0.63, 0.342, 2.05e+04, 4414.705004, 421.314756, 4925.303393
RF, 1, 1, 1, 1, 4, 4, Soft, 0.74, 0.227, 1.41e+04, 2377.473748, 225.193516, 2951.896935
RF, 4, 4, 4, 4, 2, 4, None, 0.30, 0.436, 1.55e+04, 3400.547725, 298.503539, 3528.197322
RF, 1, 1, 2, 2, 4, 8, Soft, 0.72, 0.284, 2.64e+04, 4425.968207, 454.162600, 5574.814582
RF, 2, 2, 1, 1, 6, 4, None, 1.61, 0.945, 7.31e+04, 14756.199574, 1501.162009, 16798.593129
RF, 2, 2, 1, 1, 4, 16, None, 0.85, 0.534, 4.85e+04, 8957.998216, 984.549917, 11000.391771
RF, 1, 1, 2, 2, 6, 8, None, 1.65, 1.453, 1.15e+05, 20419.242564, 2084.385004, 24504.029674
RF, 2, 2, 4, 4, 0, 2, None, 0.16, 1.17e-02, 642.564, 106.061797, 10.327591, 122.017997
RF, 1, 1, 2, 2, 2, 8, None, 0.36, 8.34e-02, 5.90e+03, 1017.911679, 99.946517, 1273.210874
RF, 1, 1, 1, 1, 2, 8, Soft, 0.42, 9.60e-02, 6.47e+03, 916.542881, 94.794440, 1299.491672
RF, 2, 2, 4, 4, 2, 2, Soft, 0.40, 0.116, 6.16e+03, 1267.579273, 108.928182, 1395.228870
RF, 4, 4, 1, 1, 4, 8, None, 0.67, 1.284, 7.42e+04, 16081.502751, 1565.391147, 17102.699528
RF, 2, 2, 2, 2, 0, 16, None, 0.15, 5.75e-02, 3.57e+03, 510.598387, 55.194390, 638.247984
RF, 2, 2, 1, 1, 6, 8, Soft, 1.67, 1.488, 1.16e+05, 22560.658422, 2471.685243, 26773.095129
RF, 4, 4, 1, 1, 6, 2, Soft, 4.14, 1.781, 1.25e+05, 27518.812764, 2612.888026, 28571.921941
RF, 1, 1, 2, 2, 0, 16, Soft, 0.39, 0.107, 6.28e+03, 895.893683, 98.951283, 1278.842474
RF, 1, 1, 4, 4, 2, 2, None, 0.41, 4.85e-02, 2.70e+03, 544.387989, 48.327668, 608.212788
RF, 4, 4, 2, 2, 4, 8, None, 0.68, 1.307, 7.61e+04, 16820.180939, 1649.603042, 17841.377716
RF, 1, 1, 4, 4, 4, 8, None, 0.74, 0.330, 3.02e+04, 6175.049281, 655.614781, 7196.246058
RF, 4, 4, 4, 4, 2, 8, None, 0.35, 0.713, 2.38e+04, 5424.169289, 516.136163, 5679.468483
RF, 2, 2, 2, 2, 0, 8, None, 0.15, 2.80e-02, 1.81e+03, 259.522893, 26.615909, 323.347692
RF, 1, 1, 4, 4, 6, 16, Soft, 2.01, 1.808, 2.33e+05, 46783.108196, 5358.204689, 55207.981609
RF, 4, 4, 2, 2, 6, 8, Soft, 1.70, 4.141, 3.41e+05, 75401.490733, 7587.358290, 79741.577036
RF, 1, 1, 4, 4, 0, 8, Soft, 0.32, 6.64e-02, 4.43e+03, 762.612485, 77.632452, 954.086881
RF, 1, 1, 2, 2, 0, 2, Firm, 0.14, 7.78e-03, 516.449, 59.131799, 5.838309, 91.044198
RF, 4, 4, 2, 2, 0, 8, Soft, 0.31, 0.105, 6.17e+03, 957.371981, 94.956753, 1276.495974
RF, 2, 2, 2, 2, 2, 8, Soft, 0.48, 0.224, 1.20e+04, 2092.139356, 208.616728, 2602.737745
RF, 2, 2, 2, 2, 6, 4, None, 1.57, 1.068, 8.53e+04, 17522.253713, 1744.288246, 19564.647268
RF, 2, 2, 1, 1, 6, 16, None, 1.59, 1.426, 1.86e+05, 31700.275714, 3776.321065, 39869.849932
RF, 1, 1, 1, 1, 0, 4, Soft, 0.25, 2.45e-02, 1.46e+03, 193.351596, 17.922156, 289.088794
RF, 2, 2, 4, 4, 0, 4, Soft, 0.34, 7.10e-02, 4.58e+03, 794.994182, 70.747750, 954.556178
RF, 1, 1, 1, 1, 2, 16, None, 0.47, 0.122, 8.33e+03, 1191.552677, 135.445691, 1702.151066
RF, 4, 4, 4, 4, 6, 16, None, 1.76, 6.074, 6.05e+05, 138443.966456, 15335.689377, 146613.540674
RF, 1, 1, 1, 1, 4, 8, Soft, 0.76, 0.230, 2.00e+04, 3017.598939, 329.664854, 4166.445313
RF, 4, 4, 4, 4, 6, 8, None, 1.63, 4.373, 3.75e+05, 83746.113861, 8391.557069, 87830.900971
RF, 1, 1, 2, 2, 2, 2, None, 0.34, 3.77e-02, 1.97e+03, 364.176793, 31.621453, 428.001591
RF, 2, 2, 4, 4, 4, 4, Soft, 0.70, 0.469, 2.87e+04, 6267.032069, 603.971290, 6905.280055
RF, 4, 4, 1, 1, 0, 16, None, 0.14, 5.93e-02, 4.38e+03, 716.621083, 67.300245, 844.270680
RF, 4, 4, 4, 4, 6, 4, Soft, 1.84, 2.968, 2.26e+05, 50862.263580, 4959.038138, 53159.956329
RF, 1, 1, 1, 1, 0, 8, Soft, 0.23, 4.69e-02, 2.70e+03, 341.181093, 35.405686, 532.655489
RF, 4, 4, 1, 1, 6, 4, Soft, 1.68, 2.618, 1.89e+05, 41867.659974, 4169.092134, 43973.878327
RF, 4, 4, 4, 4, 0, 8, Firm, 0.39, 0.160, 1.08e+04, 1634.571867, 163.599500, 2145.170256
RF, 1, 1, 4, 4, 6, 2, None, 4.13, 0.570, 4.92e+04, 9340.947047, 854.364084, 10362.143824
RF, 2, 2, 1, 1, 6, 2, None, 4.03, 0.756, 5.30e+04, 10708.487181, 1057.510416, 11729.683958
RF, 2, 2, 2, 2, 6, 16, None, 1.63, 1.664, 2.21e+05, 40160.346649, 4644.055088, 48329.920868
RF, 1, 1, 1, 1, 0, 8, Firm, 0.14, 2.51e-02, 1.65e+03, 163.785696, 18.564814, 291.435294
RF, 4, 4, 4, 4, 4, 2, Soft, 1.28, 0.710, 3.85e+04, 8295.346617, 721.772833, 8678.295409
RF, 2, 2, 1, 1, 6, 2, Soft, 4.17, 0.854, 5.47e+04, 11149.159858, 1114.968122, 12202.269035
RF, 2, 2, 2, 2, 0, 4, Firm, 0.21, 3.35e-02, 2.04e+03, 275.479095, 26.139620, 403.128692
RF, 4, 4, 2, 2, 2, 16, Soft, 0.56, 0.812, 3.99e+04, 8138.600429, 825.619263, 9159.797206
RF, 1, 1, 2, 2, 0, 8, Firm, 0.14, 2.64e-02, 1.90e+03, 201.329695, 23.679181, 328.979292
RF, 2, 2, 1, 1, 4, 16, Soft, 0.74, 0.618, 5.29e+04, 9431.991203, 1017.433336, 11729.683952
RF, 4, 4, 4, 4, 2, 4, Soft, 0.50, 0.520, 2.24e+04, 4542.354597, 403.850014, 4925.303388
RF, 2, 2, 2, 2, 4, 8, None, 0.70, 0.515, 3.18e+04, 6711.459164, 703.127441, 7732.655941
RF, 4, 4, 2, 2, 0, 16, None, 0.15, 6.26e-02, 4.88e+03, 791.709081, 78.421149, 919.358678
RF, 2, 2, 4, 4, 0, 2, Soft, 0.25, 3.80e-02, 2.18e+03, 416.738391, 36.979590, 496.519389
RF, 1, 1, 1, 1, 4, 8, None, 0.74, 0.196, 1.82e+04, 2762.299744, 299.475730, 3783.496521
RF, 4, 4, 2, 2, 0, 4, Firm, 0.21, 3.35e-02, 2.04e+03, 275.479095, 26.139620, 403.128692
RF, 1, 1, 4, 4, 0, 4, None, 0.16, 1.22e-02, 920.458, 130.934696, 15.067873, 162.847096
RF, 2, 2, 4, 4, 2, 16, Soft, 0.64, 0.413, 2.77e+04, 5127.102394, 547.870323, 6148.299172
RF, 2, 2, 2, 2, 0, 4, Soft, 0.25, 5.54e-02, 3.35e+03, 520.922988, 46.414664, 680.484985
RF, 2, 2, 1, 1, 2, 2, Soft, 0.37, 9.32e-02, 3.80e+03, 754.165084, 63.798313, 849.902282
RF, 2, 2, 2, 2, 4, 16, Soft, 0.88, 0.718, 6.30e+04, 11041.220867, 1216.110705, 13594.212810
RF, 1, 1, 1, 1, 4, 2, Soft, 1.11, 0.114, 6.90e+03, 1191.552678, 112.205689, 1478.764271
RF, 1, 1, 1, 1, 6, 8, None, 1.61, 1.289, 9.26e+04, 15203.911779, 1615.483677, 19288.698888
RF, 2, 2, 1, 1, 4, 2, Soft, 1.12, 0.277, 1.62e+04, 3302.464027, 294.790676, 3589.675621
RF, 4, 4, 2, 2, 0, 2, Firm, 0.21, 1.76e-02, 1.02e+03, 150.175997, 13.891546, 214.000795
RF, 4, 4, 2, 2, 2, 2, None, 0.36, 0.301, 1.02e+04, 2291.122548, 190.527056, 2354.947347
RF, 4, 4, 2, 2, 0, 8, None, 0.15, 4.17e-02, 2.69e+03, 450.058688, 40.550925, 513.883487
RF, 2, 2, 1, 1, 6, 4, Soft, 1.56, 1.054, 7.76e+04, 15324.521853, 1545.412462, 17430.740206
RF, 2, 2, 2, 2, 4, 16, None, 0.75, 0.582, 5.65e+04, 10235.432779, 1103.814673, 12277.826334
RF, 2, 2, 4, 4, 6, 16, Soft, 1.72, 2.351, 3.19e+05, 61863.124691, 6825.310032, 70543.297299
RF, 1, 1, 2, 2, 0, 16, Firm, 0.14, 5.23e-02, 3.73e+03, 389.049691, 50.044318, 644.348885
